Glottocode,LanguageName,Source,consonant,tone,vowel
bell1243,BELLA COOLA,upsid,28,0,3
bemb1257,Bemba,ph,15,0,10
bena1262,Bena,gm,22,2,10
benc1235,Bench,gm,29,6,5
benc1235,Gimira,gm,46,5,5
beng1280,Bengali,ea,30,0,17
beng1280,Bengali,ra,34,0,14
beng1280,Bengali,spa,36,0,17
beng1280,Bengali,uz,49,0,23
beng1280,BENGALI,upsid,29,0,14
beng1286,bɛ̀ŋ,aa,24,6,19
berb1259,Berbice Dutch,ph,20,0,6
bero1242,berom,aa,24,0,7
bero1242,BIROM,upsid,22,0,7
bert1248,BERTA,upsid,24,0,5
bese1243,Beserman,ea,25,0,8
besi1244,Mah Meri,ea,30,0,28
besi1244,Mah Meri,uz,30,0,28
besl1239,Besleri,gm,39,2,9
bett1235,Betta Kurumba,ea,22,0,15
bett1235,Betta Kurumba,ph,22,0,15
bhel1238,bhele,aa,19,2,7
bhil1251,Bhili,ra,35,0,27
bhoj1244,Bhojpuri,ea,35,0,16
biak1248,Biak,gm,14,0,5
biak1248,Biak,ph,14,0,10
bial1238,biali,aa,14,3,10
bibb1234,Bibbulman,er,17,0,5
bidy1243,Bidyara,er,16,0,4
bidy1243,Dharawala,er,14,0,3
bidy1243,Wadjabangay,er,15,0,3
bidy1243,Yandjibara,er,18,0,3
bidy1243,Yiningay,er,16,0,3
bidy1244,Bijogo,gm,18,0,7
biga1237,Bigambal,er,13,0,3
bike1242,Bikele,ph,28,4,23
bila1255,bila,gm,19,5,9
bili1250,Bilinara,ph,17,0,6
bili1250,Bilinarra,er,17,0,6
bili1260,Blin,gm,31,0,7
bilo1248,Biloxi,ph,12,0,8
bilu1245,Bilua,ph,16,0,25
bimo1239,bimoba,aa,22,4,18
bina1277,Binandere,ph,11,0,24
binb1242,Binbinka,er,17,0,6
bini1246,ẹdo,aa,25,2,21
binu1245,Binumarien,ph,11,0,5
biri1256,Barna,er,15,0,3
biri1256,Biri,er,15,0,3
biri1256,Garingbal,er,15,0,3
biri1256,Miyan,er,15,0,3
biri1256,Wangan,er,15,0,3
biri1256,Wiri,er,15,0,3
biri1256,Yambina,er,15,0,3
biri1256,Yangga,er,15,0,3
biri1256,Yilba,er,15,0,3
biri1256,Yuwi,er,15,0,3
biss1248,bisa,aa,23,3,15
biss1248,BISA,upsid,18,0,6
blan1242,Blang; Plang; Bulang; Pulang; Pula; Kawa; K''ala; Kontoi',ph,24,2,14
bodo1267,Gutob,ea,17,0,19
bodo1267,Gutob,ra,21,0,19
bodo1269,BODO,upsid,15,0,6
boik1241,Boiken,ph,17,0,8
boko1266,boussa,aa,19,3,12
bomi1238,Leke,gm,16,2,10
bona1250,Baoan,ea,25,0,11
bond1245,Remo,ea,21,0,21
bond1245,Remo,ph,21,0,6
bond1245,Remo,ra,27,0,13
bong1285,Bongo,ph,18,0,11
bora1263,Bora,saphon,29,0,12
bora1271,Galla,gm,26,0,10
bord1248,Border Kuna,saphon,19,0,5
bord1248,CUNA,upsid,16,0,5
boro1277,Boro,ph,16,3,6
boro1277,BoRo,ra,22,2,8
boro1282,BORORO,upsid,13,0,7
boro1282,Borôro,saphon,15,0,7
boun1243,Kulango,gm,27,2,17
bouy1240,Yay,spa,24,6,8
bouy1240,YAY,upsid,23,0,11
brah1256,Brahui,ea,52,0,34
brah1256,BRAHUI,upsid,24,0,9
bret1244,Breton,ea,32,0,34
bret1244,Breton,spa,25,0,17
bret1244,BRETON,upsid,25,0,20
brib1243,BRIBRI,upsid,18,0,9
brok1247,Brokskat,ph,31,0,10
brok1247,Brokskat,ra,41,0,15
buam1238,Bwamut,gm,17,3,8
bubi1249,Bubia,ph,25,0,14
budu1250,Kibudu,gm,31,3,9
bugi1244,Bugis,gm,19,0,6
bujh1238,Bhujel,ea,31,0,16
bukh1238,Bukharan Tajik,uz,23,0,6
buku1249,Bukusu,ph,20,0,10
bula1255,Bularnu,er,26,0,6
bulg1262,Bulgarian,ea,37,0,6
bulg1262,Bulgarian,spa,37,0,12
bulg1262,Bulgarian,uz,23,0,7
bulg1262,BULGARIAN,upsid,36,0,6
buli1254,Buli,gm,23,10,13
bulu1251,bulu,aa,24,5,7
bumb1241,Arapesh,ph,15,0,7
bumm1238,Bum,gm,37,3,7
buna1275,Bunuba,er,20,0,4
bund1253,Bundeli,ra,38,0,17
bung1264,Buwandik,er,20,0,3
buol1237,Buol,gm,17,0,6
bura1267,Burarra,er,21,0,5
bura1267,BURARRA,upsid,16,0,5
burd1238,Purduna,er,20,0,6
burj1242,Burji,gm,26,0,10
buru1296,Burushaski,ea,114,0,41
buru1296,Burushaski,spa,38,3,12
buru1296,BURUSHASKI,upsid,38,0,5
buru1301,Burun,gm,19,3,16
busa1253,busa,gm,16,3,12
buwa1243,Buwal,gm,38,3,2
cabi1241,Cabiyarí,saphon,12,0,5
cacu1241,CACUA,upsid,12,0,10
cacu1241,Kakua,saphon,21,0,5
cadd1256,CADDO,upsid,20,0,3
caja1238,Cajamarca Quechua,saphon,19,0,3
call1235,Callawaya,saphon,26,0,6
came1252,mambila,aa,24,4,12
came1252,Mambila,gm,20,4,11
came1252,MAMBILA,upsid,19,0,6
camp1261,Campidanese Sardinian,ea,44,0,14
cams1241,CAMSA,upsid,22,0,6
cams1241,Camsá,saphon,21,0,6
cand1248,Candoshi-Shapra,saphon,21,0,6
cane1242,Canela,saphon,13,0,16
capa1241,Capanahua,saphon,16,0,8
caqu1242,Caquinte,saphon,19,0,8
cara1272,Karapanã,saphon,11,0,12
cari1279,Carijona,saphon,14,0,7
carn1240,NICOBARESE,upsid,16,0,9
cash1251,Cashibo-Cacataibo,saphon,15,0,6
cash1254,Kashinawa,saphon,15,0,8
cavi1250,Cavinena,ph,20,0,4
cavi1250,Cavineña,saphon,20,0,4
cayu1262,Cayubaba,saphon,17,0,16
cayu1262,CAYUVAVA,upsid,17,0,16
ceba1235,SENADI,upsid,24,0,12
ceba1235,Senoufo-Cebaara,gm,22,3,13
ceba1235,"Senoufo, Cebaara",gm,24,3,16
cebu1242,Cebuano,ea,16,0,3
cebu1242,Cebuano,gm,18,0,3
cent1972,Kurdish,ea,31,0,8
cent1973,Pashto,spa,31,0,7
cent1973,PASHTO,upsid,31,0,7
cent1973,Wazirwola,ea,49,0,12
cent1989,Cambodian,spa,21,0,21
cent1989,Central Khmer,ea,17,0,29
cent1989,KHMER,upsid,21,0,21
cent1990,Nicobarese,ra,16,0,19
cent2004,BAI,upsid,18,0,11
cent2018,fulfulde,aa,27,0,10
cent2050,kanuri,aa,18,0,7
cent2050,Kanuri,spa,25,4,6
cent2050,KANURI,upsid,23,0,6
cent2087,Bikol (Bicolano),gm,23,0,5
cent2092,Central Sama,uz,30,0,6
cent2128,YUPIK,upsid,32,0,4
cent2142,Aymara,saphon,54,0,9
cent2144,Mazahua,spa,45,3,15
cent2144,MAZAHUA,upsid,45,0,15
cent2150,Tunebo,saphon,14,0,5
cent2194,Tamazight Berber,gm,36,0,3
cerm1238,cerma,aa,21,4,21
chac1249,Cayapa,spa,24,0,4
chac1249,CAYAPA,upsid,24,0,4
chac1249,Cha'palaa,saphon,23,0,4
chac1250,Chachapoyas Quechua,saphon,15,0,3
chac1251,Chacobo,spa,17,0,4
chac1251,Chácobo,saphon,16,0,4
chah1248,Chaha,gm,36,0,8
cham1312,Chamorro,spa,30,0,6
cham1312,CHAMORRO,upsid,20,0,6
cham1315,Chamacoco,saphon,21,0,16
cham1318,Chamicuro,ph,19,0,10
cham1318,Chamicuro,saphon,19,0,10
chan1310,Chantyal,ea,21,0,27
chau1259,Chandangs and Byangs,ra,34,0,8
chay1248,Shawi,saphon,14,0,4
chec1245,Chechen,ea,156,0,109
chec1245,Chechen,ph,32,0,12
chee1238,Che; Rukuba; Kuche; Bache; Inchazi; Sale,ph,30,3,24
chen1255,Nyinpa Cone,ea,46,0,24
chep1245,Chepang,ph,18,0,6
cher1271,Hill Guang,gm,26,2,10
cher1273,CHEROKEE,upsid,11,0,6
chib1270,Muisca,saphon,16,0,6
chic1270,Chickasaw,ph,16,0,9
chim1300,San Miguel Chimalapa Zoque,ph,20,0,6
chim1301,Chimariko,ph,33,0,9
chim1302,Chimborazo Quichua,ph,31,0,5
chim1309,Chimila,saphon,16,0,20
chip1261,Chipewyan,spa,39,4,18
chip1261,CHIPEWYAN,upsid,38,0,14
chip1262,Chipaya,saphon,41,0,10
chiq1248,Bésɨro,saphon,14,0,12
chiq1250,MAZATEC,upsid,25,0,8
chiq1250,Mazateco,spa,26,4,8
chir1286,Nhandeva,saphon,17,0,12
choc1276,Choctaw,ph,15,0,6
chok1243,Chokri,ra,34,0,5
chol1282,"Tila, Chiapas",ph,20,0,6
chol1284,Cholón,saphon,15,0,5
chon1284,Chong,ph,21,0,19
chon1287,Chonyi,gm,40,2,5
chra1242,Chrau,ph,20,0,13
chua1250,CHUAVE,upsid,12,0,5
chua1256,HMONG,upsid,46,0,10
chuk1273,Chukchi,ea,14,0,6
chuk1273,Chukchi,spa,15,0,7
chuk1273,CHUKCHI,upsid,15,0,7
chum1261,chumburung,aa,21,0,9
chuv1255,Chuvash,spa,30,0,9
chuv1255,CHUVASH,upsid,21,0,9
coca1259,Kokama-Kokamilla,saphon,11,0,5
coco1260,Cocos Malay,uz,19,0,8
coeu1236,Coeur d''Alene',ph,40,0,8
cofa1242,COFAN,upsid,30,0,5
cofa1242,Cofán,saphon,27,0,10
cogu1240,Kogi,saphon,24,0,12
cola1237,Kolakngat,er,17,0,5
