sound	utterance	word	trans	f1	f2	duration	step_time
a	u_1	ба	ты_к_женщине	783.7397256482	1488.6478035435	0.1842667498	25.9253108592
a	u_1	ба	ты_к_женщине	807.3450493128	1517.2894096484	0.1842667498	25.9353108592
a	u_1	ба	ты_к_женщине	812.2935907605	1525.6980172771	0.1842667498	25.9453108592
a	u_1	ба	ты_к_женщине	825.2939178365	1564.3331226261	0.1842667498	25.9553108592
a	u_1	ба	ты_к_женщине	849.2458783581	1609.9240159672	0.1842667498	25.9653108592
a	u_1	ба	ты_к_женщине	878.1661423104	1626.9336657555	0.1842667498	25.9753108592
a	u_1	ба	ты_к_женщине	890.3169980551	1642.6337478742	0.1842667498	25.9853108592
a	u_1	ба	ты_к_женщине	898.1689071387	1648.0121565381	0.1842667498	25.9953108592
a	u_1	ба	ты_к_женщине	927.4790508486	1670.6445107777	0.1842667498	26.0053108592
a	u_1	ба	ты_к_женщине	937.9915656249	1694.4780833901	0.1842667498	26.0153108592
a	u_1	ба	ты_к_женщине	926.4607348252	1715.2321428664	0.1842667498	26.0253108592
a	u_1	ба	ты_к_женщине	--undefined--	--undefined--	0.1842667498	26.0353108592
a	u_1	ба	ты_к_женщине	--undefined--	--undefined--	0.1842667498	26.0453108592
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.1723763375
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.1823763375
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.1923763375
a	u_2	ба	ты_к_женщине	686.5515303387	1369.0507686317	0.2407752197	27.2023763375
a	u_2	ба	ты_к_женщине	712.0610265816	1406.8795189307	0.2407752197	27.2123763375
a	u_2	ба	ты_к_женщине	729.2291295265	1437.0470745711	0.2407752197	27.2223763375
a	u_2	ба	ты_к_женщине	744.3880403096	1468.5282049982	0.2407752197	27.2323763375
a	u_2	ба	ты_к_женщине	765.0810269818	1507.5040954475	0.2407752197	27.2423763375
a	u_2	ба	ты_к_женщине	768.0475405056	1515.9803059677	0.2407752197	27.2523763375
a	u_2	ба	ты_к_женщине	784.005169644	1531.3101929969	0.2407752197	27.2623763375
a	u_2	ба	ты_к_женщине	797.979937437	1546.8395317361	0.2407752197	27.2723763375
a	u_2	ба	ты_к_женщине	809.275532579	1557.9261267901	0.2407752197	27.2823763375
a	u_2	ба	ты_к_женщине	832.1168360615	1556.8753312711	0.2407752197	27.2923763375
a	u_2	ба	ты_к_женщине	843.2009301181	1598.9991338274	0.2407752197	27.3023763375
a	u_2	ба	ты_к_женщине	858.0574331899	1618.4494364458	0.2407752197	27.3123763375
a	u_2	ба	ты_к_женщине	879.6071242373	1642.9293098936	0.2407752197	27.3223763375
a	u_2	ба	ты_к_женщине	880.4259319737	1608.2420775811	0.2407752197	27.3323763375
a	u_2	ба	ты_к_женщине	907.3706757344	1593.1660368258	0.2407752197	27.3423763375
a	u_2	ба	ты_к_женщине	892.917277769	1602.4109323749	0.2407752197	27.3523763375
a	u_2	ба	ты_к_женщине	896.0542991265	1627.3545855373	0.2407752197	27.3623763375
a	u_2	ба	ты_к_женщине	893.0134619118	1689.5416268564	0.2407752197	27.3723763375
a	u_2	ба	ты_к_женщине	892.0389730485	1649.1310687175	0.2407752197	27.3823763375
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.3923763375
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.4023763375
a	u_2	ба	ты_к_женщине	--undefined--	--undefined--	0.2407752197	27.4123763375
a	u_3	ба	ты_к_женщине	--undefined--	--undefined--	0.2334045497	28.3846895837
a	u_3	ба	ты_к_женщине	--undefined--	--undefined--	0.2334045497	28.3946895837
a	u_3	ба	ты_к_женщине	--undefined--	--undefined--	0.2334045497	28.4046895837
a	u_3	ба	ты_к_женщине	669.6728289683	1336.8882591056	0.2334045497	28.4146895837
a	u_3	ба	ты_к_женщине	715.7894759688	1426.3948914485	0.2334045497	28.4246895837
a	u_3	ба	ты_к_женщине	744.7914555781	1489.1920606739	0.2334045497	28.4346895837
a	u_3	ба	ты_к_женщине	752.8891624594	1475.4380512339	0.2334045497	28.4446895837
a	u_3	ба	ты_к_женщине	767.27993199	1510.3763325952	0.2334045497	28.4546895837
a	u_3	ба	ты_к_женщине	775.2591686168	1549.2334338736	0.2334045497	28.4646895837
a	u_3	ба	ты_к_женщине	794.8838355149	1548.6219455664	0.2334045497	28.4746895837
a	u_3	ба	ты_к_женщине	822.3539442083	1562.660817803	0.2334045497	28.4846895837
a	u_3	ба	ты_к_женщине	834.4152144712	1603.7786338889	0.2334045497	28.4946895837
a	u_3	ба	ты_к_женщине	851.5162388174	1575.0908339927	0.2334045497	28.5046895837
a	u_3	ба	ты_к_женщине	876.7430184254	1604.3877548631	0.2334045497	28.5146895837
a	u_3	ба	ты_к_женщине	889.7638283107	1587.0627384941	0.2334045497	28.5246895837
a	u_3	ба	ты_к_женщине	915.159520983	1576.5540687978	0.2334045497	28.5346895837
a	u_3	ба	ты_к_женщине	925.3667303408	1580.5118776959	0.2334045497	28.5446895837
a	u_3	ба	ты_к_женщине	960.2612666351	1571.9807394744	0.2334045497	28.5546895837
a	u_3	ба	ты_к_женщине	959.2507509078	1598.7292082621	0.2334045497	28.5646895837
a	u_3	ба	ты_к_женщине	941.8341438506	1602.1575003665	0.2334045497	28.5746895837
a	u_3	ба	ты_к_женщине	896.3438025766	1560.7185342523	0.2334045497	28.5846895837
a	u_3	ба	ты_к_женщине	846.9409660162	1588.0416100598	0.2334045497	28.5946895837
a	u_3	ба	ты_к_женщине	--undefined--	--undefined--	0.2334045497	28.6046895837
a	u_3	ба	ты_к_женщине	--undefined--	--undefined--	0.2334045497	28.6146895837
a	cf	ба	ты_к_женщине	--undefined--	--undefined--	0.2260338797	29.7243970792
a	cf	ба	ты_к_женщине	--undefined--	--undefined--	0.2260338797	29.7343970792
a	cf	ба	ты_к_женщине	--undefined--	--undefined--	0.2260338797	29.7443970792
a	cf	ба	ты_к_женщине	755.9655303232	1485.1649259108	0.2260338797	29.7543970792
a	cf	ба	ты_к_женщине	777.3609730155	1510.8362386062	0.2260338797	29.7643970792
a	cf	ба	ты_к_женщине	791.8902251687	1515.8489723645	0.2260338797	29.7743970792
a	cf	ба	ты_к_женщине	795.3709052282	1523.1412956304	0.2260338797	29.7843970792
a	cf	ба	ты_к_женщине	817.2219593665	1516.6165203609	0.2260338797	29.7943970792
a	cf	ба	ты_к_женщине	812.9696788277	1517.3250494127	0.2260338797	29.8043970792
a	cf	ба	ты_к_женщине	824.5171038104	1490.2927174914	0.2260338797	29.8143970792
a	cf	ба	ты_к_женщине	835.6228895164	1530.3934478148	0.2260338797	29.8243970792
a	cf	ба	ты_к_женщине	849.4729642549	1478.5350030018	0.2260338797	29.8343970792
a	cf	ба	ты_к_женщине	838.7495202697	1469.3811535145	0.2260338797	29.8443970792
a	cf	ба	ты_к_женщине	862.7407582909	1524.3603457143	0.2260338797	29.8543970792
a	cf	ба	ты_к_женщине	877.319613391	1540.0405854984	0.2260338797	29.8643970792
a	cf	ба	ты_к_женщине	837.7876310046	1551.2436037014	0.2260338797	29.8743970792
a	cf	ба	ты_к_женщине	833.5529419787	1560.6225803827	0.2260338797	29.8843970792
a	cf	ба	ты_к_женщине	816.4819426612	1531.731297952	0.2260338797	29.8943970792
a	cf	ба	ты_к_женщине	860.8066275284	1546.6287904372	0.2260338797	29.9043970792
a	cf	ба	ты_к_женщине	1003.2453054845	1558.4301704863	0.2260338797	29.9143970792
a	cf	ба	ты_к_женщине	1097.015830595	1634.3489037469	0.2260338797	29.9243970792
a	cf	ба	ты_к_женщине	--undefined--	--undefined--	0.2260338797	29.9343970792
a	cf	ба	ты_к_женщине	--undefined--	--undefined--	0.2260338797	29.9443970792
a	u_1	багь	паук	--undefined--	--undefined--	0.1965511998	34.5570264092
a	u_1	багь	паук	--undefined--	--undefined--	0.1965511998	34.5670264092
a	u_1	багь	паук	--undefined--	--undefined--	0.1965511998	34.5770264092
a	u_1	багь	паук	776.6585823563	1592.1767608406	0.1965511998	34.5870264092
a	u_1	багь	паук	803.5977258484	1604.3551726641	0.1965511998	34.5970264092
a	u_1	багь	паук	852.5821091337	1604.4816027369	0.1965511998	34.6070264092
a	u_1	багь	паук	885.4015374325	1602.7069220744	0.1965511998	34.6170264092
a	u_1	багь	паук	887.0390818475	1614.6830990601	0.1965511998	34.6270264092
a	u_1	багь	паук	889.1531241267	1647.9216842965	0.1965511998	34.6370264092
a	u_1	багь	паук	884.0936230142	1704.7609606937	0.1965511998	34.6470264092
a	u_1	багь	паук	892.4005769353	1740.8861197174	0.1965511998	34.6570264092
a	u_1	багь	паук	898.2261441643	1767.5995173719	0.1965511998	34.6670264092
a	u_1	багь	паук	896.3786527772	1797.4085360257	0.1965511998	34.6770264092
a	u_1	багь	паук	854.5270453919	1837.554129625	0.1965511998	34.6870264092
a	u_1	багь	паук	785.2555526675	1901.2977056638	0.1965511998	34.6970264092
a	u_1	багь	паук	717.7286476707	2002.1314864918	0.1965511998	34.7070264092
a	u_1	багь	паук	684.5183382948	2114.0098893023	0.1965511998	34.7170264092
a	u_1	багь	паук	637.924285455	2314.3264579886	0.1965511998	34.7270264092
a	u_1	багь	паук	--undefined--	--undefined--	0.1965511998	34.7370264092
a	u_1	багь	паук	--undefined--	--undefined--	0.1965511998	34.7470264092
a	u_2	багь	паук	--undefined--	--undefined--	0.2260338797	35.9799594101
a	u_2	багь	паук	--undefined--	--undefined--	0.2260338797	35.9899594101
a	u_2	багь	паук	--undefined--	--undefined--	0.2260338797	35.9999594101
a	u_2	багь	паук	723.8378996023	1420.5582870307	0.2260338797	36.0099594101
a	u_2	багь	паук	757.7316566958	1440.9885175337	0.2260338797	36.0199594101
