Gender;Age;AgeGroup;Education;City;Country;SubjectCode;Score;GivenScore;Stimulus;Prefix;WordType;CorpusFrequency
male;15;child;school;Izhevsk;Russia;BM;four;4;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;BN;five;5;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;BO;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;BP;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;BU;four;4;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;BR;five;5;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;BS;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;BT;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;BW;three;3;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;BY;five;5;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;BZ;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;BQ;four;4;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;CA;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CB;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CC;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CD;five;5;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;CE;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CF;five;5;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;CG;five;5;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;CH;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CI;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CJ;five;5;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;CK;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CL;five;5;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CM;four;4;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;CN;four;4;ozhestochit;o;standard;686
male;14;child;school;Izhevsk;Russia;CO;four;4;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;CP;five;5;ozhestochit;o;standard;686
male;15;child;school;Izhevsk;Russia;CU;four;4;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CR;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CS;four;4;ozhestochit;o;standard;686
female;15;child;school;Izhevsk;Russia;CT;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CW;five;5;ozhestochit;o;standard;686
female;14;child;school;Izhevsk;Russia;CY;four;4;ozhestochit;o;standard;686
female;16;child;school;Izhevsk;Russia;AA;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AB;two;2;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;AC;one;1;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;AD;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AE;one;1;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AF;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AG;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AH;two;2;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AI;two;2;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AJ;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AK;one;1;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;AL;one;1;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;AM;three;3;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;AN;two;2;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AO;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AP;one;1;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;AU;three;3;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AR;one;1;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;AS;three;3;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;AT;four;4;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;AW;one;1;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;AY;three;3;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AZ;one;1;ovneshnit;o;marginal;4
female;17;child;school;Izhevsk;Russia;AQ;two;2;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;BA;two;2;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;BB;one;1;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;BC;one;1;ovneshnit;o;marginal;4
male;16;child;school;Izhevsk;Russia;BD;one;1;ovneshnit;o;marginal;4
male;17;child;school;Izhevsk;Russia;BE;two;2;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BF;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BG;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;BH;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BI;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BJ;two;2;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BK;one;1;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;BL;two;2;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BM;one;1;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;BN;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BO;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;BP;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BU;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BR;three;3;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;BS;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BT;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;BW;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BY;two;2;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;BZ;one;1;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;BQ;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;CA;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CB;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CC;one;1;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CD;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;CE;one;1;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CF;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;CG;one;1;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;CH;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CI;three;3;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CJ;two;2;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;CK;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CL;three;3;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CM;two;2;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;CN;one;1;ovneshnit;o;marginal;4
male;14;child;school;Izhevsk;Russia;CO;three;3;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;CP;one;1;ovneshnit;o;marginal;4
male;15;child;school;Izhevsk;Russia;CU;two;2;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CR;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CS;one;1;ovneshnit;o;marginal;4
female;15;child;school;Izhevsk;Russia;CT;two;2;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CW;three;3;ovneshnit;o;marginal;4
female;14;child;school;Izhevsk;Russia;CY;three;3;ovneshnit;o;marginal;4
female;16;child;school;Izhevsk;Russia;AA;one;1;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AB;one;1;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;AC;one;1;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;AD;one;1;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AE;two;2;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AF;three;3;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AG;three;3;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AH;three;3;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AI;two;2;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AJ;two;2;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AK;two;2;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;AL;one;1;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;AM;one;1;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;AN;one;1;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AO;one;1;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AP;one;1;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;AU;one;1;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AR;two;2;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;AS;one;1;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;AT;two;2;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;AW;two;2;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;AY;two;2;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AZ;one;1;oblusit;o;nonce;0
female;17;child;school;Izhevsk;Russia;AQ;one;1;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;BA;one;1;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;BB;two;2;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;BC;two;2;oblusit;o;nonce;0
male;16;child;school;Izhevsk;Russia;BD;two;2;oblusit;o;nonce;0
male;17;child;school;Izhevsk;Russia;BE;one;1;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BF;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BG;two;2;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;BH;three;3;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BI;three;3;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BJ;three;3;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BK;three;3;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;BL;one;1;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BM;one;1;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;BN;one;1;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BO;one;1;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;BP;three;3;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BU;one;1;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BR;two;2;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;BS;three;3;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BT;one;1;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;BW;one;1;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BY;one;1;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;BZ;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;BQ;two;2;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;CA;two;2;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CB;one;1;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CC;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CD;one;1;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;CE;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CF;two;2;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;CG;one;1;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;CH;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CI;one;1;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CJ;two;2;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;CK;two;2;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CL;four;4;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CM;one;1;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;CN;one;1;oblusit;o;nonce;0
male;14;child;school;Izhevsk;Russia;CO;three;3;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;CP;two;2;oblusit;o;nonce;0
male;15;child;school;Izhevsk;Russia;CU;one;1;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CR;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CS;two;2;oblusit;o;nonce;0
female;15;child;school;Izhevsk;Russia;CT;one;1;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CW;two;2;oblusit;o;nonce;0
female;14;child;school;Izhevsk;Russia;CY;three;3;oblusit;o;nonce;0
female;16;child;school;Izhevsk;Russia;AA;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AB;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;AC;four;4;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;AD;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AE;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AF;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AG;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AH;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AI;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AJ;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AK;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;AL;four;4;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;AM;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;AN;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AO;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;AP;five;5;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;AU;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AR;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;AS;four;4;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;AT;five;5;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;AW;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;AY;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AZ;five;5;osvezhit;o;standard;280
female;17;child;school;Izhevsk;Russia;AQ;five;5;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;BA;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;BB;five;5;osvezhit;o;standard;280
female;16;child;school;Izhevsk;Russia;BC;five;5;osvezhit;o;standard;280
male;16;child;school;Izhevsk;Russia;BD;five;5;osvezhit;o;standard;280
male;17;child;school;Izhevsk;Russia;BE;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BF;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BG;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;BH;four;4;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BI;three;3;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BJ;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BK;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;BL;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BM;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;BN;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BO;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;BP;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BU;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BR;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;BS;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BT;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;BW;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BY;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;BZ;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;BQ;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;CA;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CB;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CC;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;CD;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;CE;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;CF;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;CG;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;CH;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;CI;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CJ;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;CK;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CL;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CM;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;CN;five;5;osvezhit;o;standard;280
male;14;child;school;Izhevsk;Russia;CO;four;4;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;CP;five;5;osvezhit;o;standard;280
male;15;child;school;Izhevsk;Russia;CU;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CR;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;CS;five;5;osvezhit;o;standard;280
female;15;child;school;Izhevsk;Russia;CT;five;5;osvezhit;o;standard;280
female;14;child;school;Izhevsk;Russia;CW;five;5;osvezhit;o;standard;280
