LanguageName,ejective,non_ejective,total,have_ejectives,is.gl
Chachapoyas Quechua,0,15,15,FALSE,TRUE
Chacobo,0,17,17,FALSE,TRUE
Chamacoco,0,21,21,FALSE,TRUE
Chamicuro,0,38,38,FALSE,TRUE
Chamorro,0,30,30,FALSE,TRUE
CHAMORRO,0,20,20,FALSE,TRUE
Chechen,2,30,32,TRUE,TRUE
Chepang,0,18,18,FALSE,TRUE
CHEROKEE,0,11,11,FALSE,TRUE
Chickasaw,0,16,16,FALSE,TRUE
Chimariko,7,26,33,TRUE,TRUE
Chimila,0,16,16,FALSE,TRUE
Chipaya,7,34,41,TRUE,TRUE
Chipewyan,7,32,39,TRUE,TRUE
CHIPEWYAN,7,31,38,TRUE,TRUE
Choctaw,0,15,15,FALSE,TRUE
Chrau,0,20,20,FALSE,TRUE
CHUAVE,0,12,12,FALSE,TRUE
Chukchi,0,15,15,FALSE,TRUE
CHUKCHI,0,15,15,FALSE,TRUE
chumburung,0,21,21,FALSE,TRUE
Chuvash,0,30,30,FALSE,TRUE
CHUVASH,0,21,21,FALSE,TRUE
Coeur d'Alene,13,27,40,TRUE,TRUE
COFAN,0,30,30,FALSE,TRUE
Comanche,0,12,12,FALSE,TRUE
Comox,0,37,37,FALSE,TRUE
Croatian,0,25,25,FALSE,TRUE
Crow,0,10,10,FALSE,TRUE
CUBEO,0,11,11,FALSE,TRUE
Cuiba,0,17,17,FALSE,TRUE
Cupeno,0,27,27,FALSE,TRUE
Curripaco,0,25,25,FALSE,TRUE
Cuvok,0,27,27,FALSE,TRUE
Czech,0,25,25,FALSE,TRUE
daba,0,36,36,FALSE,TRUE
Daba,0,36,36,FALSE,TRUE
DADIBI,0,13,13,FALSE,TRUE
Dafla,0,16,16,FALSE,TRUE
DAFLA,0,15,15,FALSE,TRUE
dagbani,0,23,23,FALSE,TRUE
Dagbani,0,24,24,FALSE,TRUE
DAGBANI,0,23,23,FALSE,TRUE
DAGUR,0,22,22,FALSE,TRUE
DAHALO,8,46,54,TRUE,TRUE
Dakota,7,20,27,TRUE,TRUE
DAKOTA,7,21,28,TRUE,TRUE
dan,0,20,20,FALSE,TRUE
Dan,0,44,44,FALSE,TRUE
DAN,0,19,19,FALSE,TRUE
DANGALEAT,0,21,21,FALSE,TRUE
daza,0,21,21,FALSE,TRUE
Defaka,0,18,18,FALSE,TRUE
Degema,0,24,24,FALSE,TRUE
Denya,0,22,22,FALSE,TRUE
Desano,0,12,12,FALSE,TRUE
Dghwede,0,33,33,FALSE,TRUE
Didinga,0,36,36,FALSE,TRUE
Digo,0,41,41,FALSE,TRUE
Dime,8,45,53,TRUE,TRUE
diriku,0,23,23,FALSE,TRUE
ditammari,0,17,17,FALSE,TRUE
Dobu,0,19,19,FALSE,TRUE
Dompo,0,22,22,FALSE,TRUE
duala,0,21,21,FALSE,TRUE
duruma,0,42,42,FALSE,TRUE
Duruma,0,40,40,FALSE,TRUE
Dutch,0,24,24,FALSE,TRUE
DYIRBAL,0,13,13,FALSE,TRUE
Dzuungoo,0,26,26,FALSE,TRUE
East Makian,0,19,19,FALSE,TRUE
ebira,0,19,19,FALSE,TRUE
EFIK,0,13,13,FALSE,TRUE
Ega,0,27,27,FALSE,TRUE
Eggon,0,30,30,FALSE,TRUE
Egyptian Arabic,0,58,58,FALSE,TRUE
Ejagham,0,19,19,FALSE,TRUE
EJAGHAM,0,20,20,FALSE,TRUE
EKARI,0,10,10,FALSE,TRUE
Ekpeye,0,24,24,FALSE,TRUE
Eloyi,0,41,41,FALSE,TRUE
Emerillon,0,16,16,FALSE,TRUE
engenni,0,20,20,FALSE,TRUE
English,0,27,27,FALSE,TRUE
Epena,0,17,17,FALSE,TRUE
Esimbi,0,29,29,FALSE,TRUE
Even,0,18,18,FALSE,TRUE
EVEN,0,17,17,FALSE,TRUE
Ewe,0,28,28,FALSE,TRUE
EWE,0,26,26,FALSE,TRUE
ewondo,0,15,15,FALSE,TRUE
EWONDO,0,26,26,FALSE,TRUE
EYAK,6,26,32,TRUE,TRUE
Faiwol,0,12,12,FALSE,TRUE
FASU,0,11,11,FALSE,TRUE
FIJIAN,0,19,19,FALSE,TRUE
Filipino,0,17,17,FALSE,TRUE
Finnish,0,25,25,FALSE,TRUE
FINNISH,0,17,17,FALSE,TRUE
Fipa,0,20,20,FALSE,TRUE
Foodo,0,23,23,FALSE,TRUE
French,0,23,23,FALSE,TRUE
FRENCH,0,21,21,FALSE,TRUE
Friulian,0,25,25,FALSE,TRUE
Fuliiru,0,24,24,FALSE,TRUE
FUR,0,19,19,FALSE,TRUE
Furu,0,31,31,FALSE,TRUE
Fwe,0,49,49,FALSE,TRUE
ga,0,24,24,FALSE,TRUE
Ga,0,32,32,FALSE,TRUE
GA,0,29,29,FALSE,TRUE
Gadsup,0,9,9,FALSE,TRUE
GADSUP,0,9,9,FALSE,TRUE
Galician,0,21,21,FALSE,TRUE
Gamo,3,23,26,TRUE,TRUE
GARAWA,0,19,19,FALSE,TRUE
Garo,0,37,37,FALSE,TRUE
Gavar,0,47,47,FALSE,TRUE
Gayo,0,19,19,FALSE,TRUE
Gban,0,20,20,FALSE,TRUE
Gbari,1,23,24,TRUE,TRUE
GELAO,0,31,31,FALSE,TRUE
Georgian,6,23,29,TRUE,TRUE
GEORGIAN,6,22,28,TRUE,TRUE
German,0,23,23,FALSE,TRUE
GERMAN,0,22,22,FALSE,TRUE
Giryama,0,40,40,FALSE,TRUE
Glavda,0,34,34,FALSE,TRUE
Golin,0,13,13,FALSE,TRUE
gonja,0,23,23,FALSE,TRUE
Guahibo,0,17,17,FALSE,TRUE
GUAHIBO,0,17,17,FALSE,TRUE
Guajajara,0,14,14,FALSE,TRUE
Guambiano,0,20,20,FALSE,TRUE
GUAMBIANO,0,18,18,FALSE,TRUE
Guarayu,0,14,14,FALSE,TRUE
Guayabero,0,16,16,FALSE,TRUE
Gujarati,0,35,35,FALSE,TRUE
Gunwinggu,0,19,19,FALSE,TRUE
Hadiyya,10,36,46,TRUE,TRUE
HADZA,6,51,57,TRUE,TRUE
Halbi,0,29,29,FALSE,TRUE
hanga,0,23,23,FALSE,TRUE
Harari,3,22,25,TRUE,TRUE
Hausa,3,29,32,TRUE,TRUE
HAUSA,3,28,31,TRUE,TRUE
Hawaiian,0,9,9,FALSE,TRUE
HAWAIIAN,0,8,8,FALSE,TRUE
Haya,0,19,19,FALSE,TRUE
herero,0,19,19,FALSE,TRUE
Hiligaynon,0,20,20,FALSE,TRUE
Hindi,0,37,37,FALSE,TRUE
HIXKARYANA,0,18,18,FALSE,TRUE
Ho,0,24,24,FALSE,TRUE
Hoava,0,16,16,FALSE,TRUE
Holoholo,0,17,17,FALSE,TRUE
Hopi,0,31,31,FALSE,TRUE
