participant_id,age,handedness,sex,question_id,answer,time_ms
02810ff2a65eae2b3e54ac57d906309d,24,right,female,82,Correct,1657
02810ff2a65eae2b3e54ac57d906309d,24,right,female,83,Correct,1312
02810ff2a65eae2b3e54ac57d906309d,24,right,female,84,Correct,1576
02810ff2a65eae2b3e54ac57d906309d,24,right,female,85,Correct,3033
02810ff2a65eae2b3e54ac57d906309d,24,right,female,86,Correct,3177
02810ff2a65eae2b3e54ac57d906309d,24,right,female,87,Correct,3393
02810ff2a65eae2b3e54ac57d906309d,24,right,female,88,Correct,3822
02810ff2a65eae2b3e54ac57d906309d,24,right,female,89,Correct,3915
02810ff2a65eae2b3e54ac57d906309d,24,right,female,90,Correct,2513
02810ff2a65eae2b3e54ac57d906309d,24,right,female,91,Correct,4568
02810ff2a65eae2b3e54ac57d906309d,24,right,female,92,Correct,2860
02810ff2a65eae2b3e54ac57d906309d,24,right,female,93,Correct,2725
02810ff2a65eae2b3e54ac57d906309d,24,right,female,94,Correct,2124
02810ff2a65eae2b3e54ac57d906309d,24,right,female,95,Correct,1739
02810ff2a65eae2b3e54ac57d906309d,24,right,female,96,Correct,2054
02810ff2a65eae2b3e54ac57d906309d,24,right,female,97,Correct,4047
02810ff2a65eae2b3e54ac57d906309d,24,right,female,98,Correct,1722
02810ff2a65eae2b3e54ac57d906309d,24,right,female,99,Correct,1139
02810ff2a65eae2b3e54ac57d906309d,24,right,female,100,Correct,1653
02810ff2a65eae2b3e54ac57d906309d,24,right,female,101,Correct,2144
02810ff2a65eae2b3e54ac57d906309d,24,right,female,102,Correct,3107
02810ff2a65eae2b3e54ac57d906309d,24,right,female,103,Correct,1869
02810ff2a65eae2b3e54ac57d906309d,24,right,female,104,Correct,1931
02810ff2a65eae2b3e54ac57d906309d,24,right,female,105,Correct,2607
02810ff2a65eae2b3e54ac57d906309d,24,right,female,106,Correct,2406
02810ff2a65eae2b3e54ac57d906309d,24,right,female,107,Correct,1497
02810ff2a65eae2b3e54ac57d906309d,24,right,female,108,Wrong,2094
02810ff2a65eae2b3e54ac57d906309d,24,right,female,109,Wrong,2002
02810ff2a65eae2b3e54ac57d906309d,24,right,female,110,Wrong,1706
02810ff2a65eae2b3e54ac57d906309d,24,right,female,111,Wrong,1909
02810ff2a65eae2b3e54ac57d906309d,24,right,female,112,Wrong,2052
02810ff2a65eae2b3e54ac57d906309d,24,right,female,113,Wrong,2290
02810ff2a65eae2b3e54ac57d906309d,24,right,female,114,Wrong,3221
02810ff2a65eae2b3e54ac57d906309d,24,right,female,115,Wrong,2994
02810ff2a65eae2b3e54ac57d906309d,24,right,female,116,Wrong,1632
02810ff2a65eae2b3e54ac57d906309d,24,right,female,117,Wrong,2040
02810ff2a65eae2b3e54ac57d906309d,24,right,female,118,Wrong,3551
02810ff2a65eae2b3e54ac57d906309d,24,right,female,119,Wrong,1345
02810ff2a65eae2b3e54ac57d906309d,24,right,female,120,Wrong,1958
02810ff2a65eae2b3e54ac57d906309d,24,right,female,121,Wrong,1695
02810ff2a65eae2b3e54ac57d906309d,24,right,female,122,Wrong,2877
02810ff2a65eae2b3e54ac57d906309d,24,right,female,123,Wrong,2852
02810ff2a65eae2b3e54ac57d906309d,24,right,female,124,Wrong,2643
02810ff2a65eae2b3e54ac57d906309d,24,right,female,125,Wrong,1789
02810ff2a65eae2b3e54ac57d906309d,24,right,female,126,Wrong,2026
02810ff2a65eae2b3e54ac57d906309d,24,right,female,127,Wrong,1653
02810ff2a65eae2b3e54ac57d906309d,24,right,female,128,Neither correct nor wrong,5431
02810ff2a65eae2b3e54ac57d906309d,24,right,female,129,Wrong,1870
02810ff2a65eae2b3e54ac57d906309d,24,right,female,130,Wrong,2733
02810ff2a65eae2b3e54ac57d906309d,24,right,female,131,Wrong,1678
02810ff2a65eae2b3e54ac57d906309d,24,right,female,132,Wrong,2324
02810ff2a65eae2b3e54ac57d906309d,24,right,female,133,Correct,1917
02810ff2a65eae2b3e54ac57d906309d,24,right,female,134,Wrong,3019
037c50e80288a89b13f4c77e0b825789,29,left,female,81,Correct,3632
037c50e80288a89b13f4c77e0b825789,29,left,female,82,Correct,4265
037c50e80288a89b13f4c77e0b825789,29,left,female,83,Correct,2889
037c50e80288a89b13f4c77e0b825789,29,left,female,84,Correct,1467
037c50e80288a89b13f4c77e0b825789,29,left,female,85,Correct,4248
037c50e80288a89b13f4c77e0b825789,29,left,female,86,Correct,3483
037c50e80288a89b13f4c77e0b825789,29,left,female,87,Correct,4895
037c50e80288a89b13f4c77e0b825789,29,left,female,88,Correct,4264
037c50e80288a89b13f4c77e0b825789,29,left,female,89,Correct,2198
037c50e80288a89b13f4c77e0b825789,29,left,female,90,Correct,4281
037c50e80288a89b13f4c77e0b825789,29,left,female,91,Correct,6156
037c50e80288a89b13f4c77e0b825789,29,left,female,92,Correct,5534
037c50e80288a89b13f4c77e0b825789,29,left,female,93,Correct,2921
037c50e80288a89b13f4c77e0b825789,29,left,female,94,Correct,3202
037c50e80288a89b13f4c77e0b825789,29,left,female,95,Correct,4621
037c50e80288a89b13f4c77e0b825789,29,left,female,96,Correct,2183
037c50e80288a89b13f4c77e0b825789,29,left,female,97,Correct,2080
037c50e80288a89b13f4c77e0b825789,29,left,female,98,Correct,5648
037c50e80288a89b13f4c77e0b825789,29,left,female,99,Correct,2614
037c50e80288a89b13f4c77e0b825789,29,left,female,100,Correct,4231
037c50e80288a89b13f4c77e0b825789,29,left,female,101,Correct,4289
037c50e80288a89b13f4c77e0b825789,29,left,female,102,Correct,3736
037c50e80288a89b13f4c77e0b825789,29,left,female,103,Correct,2775
037c50e80288a89b13f4c77e0b825789,29,left,female,104,Correct,2827
037c50e80288a89b13f4c77e0b825789,29,left,female,105,Correct,7004
037c50e80288a89b13f4c77e0b825789,29,left,female,106,Correct,2145
037c50e80288a89b13f4c77e0b825789,29,left,female,107,Correct,3282
037c50e80288a89b13f4c77e0b825789,29,left,female,108,Wrong,2604
037c50e80288a89b13f4c77e0b825789,29,left,female,109,Wrong,1811
037c50e80288a89b13f4c77e0b825789,29,left,female,110,Wrong,12613
037c50e80288a89b13f4c77e0b825789,29,left,female,111,Wrong,2369
037c50e80288a89b13f4c77e0b825789,29,left,female,112,Wrong,3214
037c50e80288a89b13f4c77e0b825789,29,left,female,113,Wrong,4231
037c50e80288a89b13f4c77e0b825789,29,left,female,114,Wrong,3758
037c50e80288a89b13f4c77e0b825789,29,left,female,115,Wrong,2112
037c50e80288a89b13f4c77e0b825789,29,left,female,116,Wrong,2467
037c50e80288a89b13f4c77e0b825789,29,left,female,117,Wrong,2030
037c50e80288a89b13f4c77e0b825789,29,left,female,118,Wrong,3939
037c50e80288a89b13f4c77e0b825789,29,left,female,119,Wrong,3331
037c50e80288a89b13f4c77e0b825789,29,left,female,120,Wrong,3453
037c50e80288a89b13f4c77e0b825789,29,left,female,121,Wrong,3177
037c50e80288a89b13f4c77e0b825789,29,left,female,122,Wrong,4374
037c50e80288a89b13f4c77e0b825789,29,left,female,123,Wrong,4262
037c50e80288a89b13f4c77e0b825789,29,left,female,124,Wrong,4411
037c50e80288a89b13f4c77e0b825789,29,left,female,125,Wrong,1787
037c50e80288a89b13f4c77e0b825789,29,left,female,126,Wrong,4357
037c50e80288a89b13f4c77e0b825789,29,left,female,127,Wrong,3700
037c50e80288a89b13f4c77e0b825789,29,left,female,128,Wrong,4297
037c50e80288a89b13f4c77e0b825789,29,left,female,129,Wrong,1612
037c50e80288a89b13f4c77e0b825789,29,left,female,130,Wrong,2789
037c50e80288a89b13f4c77e0b825789,29,left,female,131,Wrong,6293
037c50e80288a89b13f4c77e0b825789,29,left,female,132,Wrong,2366
037c50e80288a89b13f4c77e0b825789,29,left,female,133,Wrong,3489
037c50e80288a89b13f4c77e0b825789,29,left,female,134,Wrong,4676
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,81,Correct,2272
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,82,Correct,1519
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,83,Correct,1833
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,84,Correct,1322
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,85,Correct,1373
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,86,Correct,1665
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,87,Correct,1436
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,88,Correct,1598
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,89,Correct,3069
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,90,Correct,1899
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,91,Correct,1677
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,92,Correct,1161
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,93,Correct,1312
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,94,Correct,1462
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,95,Correct,1274
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,96,Correct,1864
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,97,Correct,1340
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,98,Correct,1255
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,99,Correct,1705
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,100,Correct,1998
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,101,Correct,1372
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,102,Correct,1856
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,103,Correct,1685
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,104,Correct,1172
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,105,Correct,1922
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,106,Correct,1035
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,107,Correct,1160
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,108,Wrong,1206
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,109,Wrong,1624
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,110,Wrong,1352
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,111,Wrong,1450
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,112,Wrong,1624
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,113,Wrong,1472
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,114,Wrong,1676
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,115,Wrong,1387
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,116,Wrong,1785
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,117,Wrong,2136
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,118,Wrong,2147
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,119,Wrong,9464
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,120,Wrong,2017
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,121,Wrong,1272
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,122,Wrong,1663
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,123,Wrong,1618
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,124,Wrong,1420
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,125,Wrong,1505
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,126,Wrong,3531
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,127,Wrong,1705
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,128,Wrong,2248
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,129,Wrong,1306
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,130,Wrong,6466
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,131,Wrong,1432
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,132,Wrong,1391
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,133,Correct,1119
054635a48143f6d4dd711cbb00b9f6fd,41,right,male,134,Wrong,1906
066f8885734d3b91f905df8c23195a27,26,right,male,81,Correct,2099
066f8885734d3b91f905df8c23195a27,26,right,male,82,Correct,2943
066f8885734d3b91f905df8c23195a27,26,right,male,83,Correct,1274
066f8885734d3b91f905df8c23195a27,26,right,male,84,Correct,1631
066f8885734d3b91f905df8c23195a27,26,right,male,85,Correct,2661
066f8885734d3b91f905df8c23195a27,26,right,male,86,Correct,4098
066f8885734d3b91f905df8c23195a27,26,right,male,87,Correct,1834
066f8885734d3b91f905df8c23195a27,26,right,male,88,Correct,2802
066f8885734d3b91f905df8c23195a27,26,right,male,89,Correct,2491
066f8885734d3b91f905df8c23195a27,26,right,male,90,Correct,3181
066f8885734d3b91f905df8c23195a27,26,right,male,91,Correct,2341
066f8885734d3b91f905df8c23195a27,26,right,male,92,Correct,2429
066f8885734d3b91f905df8c23195a27,26,right,male,93,Correct,3345
066f8885734d3b91f905df8c23195a27,26,right,male,94,Correct,1949
066f8885734d3b91f905df8c23195a27,26,right,male,95,Correct,4460
066f8885734d3b91f905df8c23195a27,26,right,male,96,Correct,1736
066f8885734d3b91f905df8c23195a27,26,right,male,97,Neither correct nor wrong,3145
066f8885734d3b91f905df8c23195a27,26,right,male,98,Correct,1916
066f8885734d3b91f905df8c23195a27,26,right,male,99,Correct,2023
066f8885734d3b91f905df8c23195a27,26,right,male,100,Correct,1179
066f8885734d3b91f905df8c23195a27,26,right,male,101,Correct,2499
066f8885734d3b91f905df8c23195a27,26,right,male,102,Correct,2106
066f8885734d3b91f905df8c23195a27,26,right,male,103,Correct,2964
066f8885734d3b91f905df8c23195a27,26,right,male,104,Correct,2016
066f8885734d3b91f905df8c23195a27,26,right,male,105,Correct,4932
066f8885734d3b91f905df8c23195a27,26,right,male,106,Correct,2021
066f8885734d3b91f905df8c23195a27,26,right,male,107,Correct,2223
066f8885734d3b91f905df8c23195a27,26,right,male,108,Wrong,2260
066f8885734d3b91f905df8c23195a27,26,right,male,109,Wrong,2292
066f8885734d3b91f905df8c23195a27,26,right,male,110,Wrong,4668
066f8885734d3b91f905df8c23195a27,26,right,male,111,Wrong,2780
066f8885734d3b91f905df8c23195a27,26,right,male,112,Wrong,1753
066f8885734d3b91f905df8c23195a27,26,right,male,113,Wrong,2072
066f8885734d3b91f905df8c23195a27,26,right,male,114,Wrong,1363
066f8885734d3b91f905df8c23195a27,26,right,male,115,Wrong,1471
066f8885734d3b91f905df8c23195a27,26,right,male,116,Wrong,3042
066f8885734d3b91f905df8c23195a27,26,right,male,117,Wrong,1881
066f8885734d3b91f905df8c23195a27,26,right,male,118,Wrong,3323
066f8885734d3b91f905df8c23195a27,26,right,male,119,Wrong,2091
066f8885734d3b91f905df8c23195a27,26,right,male,120,Wrong,2077
066f8885734d3b91f905df8c23195a27,26,right,male,121,Wrong,1808
066f8885734d3b91f905df8c23195a27,26,right,male,122,Wrong,4609
066f8885734d3b91f905df8c23195a27,26,right,male,123,Wrong,2582
066f8885734d3b91f905df8c23195a27,26,right,male,124,Wrong,2191
066f8885734d3b91f905df8c23195a27,26,right,male,125,Wrong,2127
066f8885734d3b91f905df8c23195a27,26,right,male,126,Wrong,1590
066f8885734d3b91f905df8c23195a27,26,right,male,127,Wrong,2142
066f8885734d3b91f905df8c23195a27,26,right,male,128,Wrong,2065
066f8885734d3b91f905df8c23195a27,26,right,male,129,Wrong,1620
066f8885734d3b91f905df8c23195a27,26,right,male,130,Wrong,2516
066f8885734d3b91f905df8c23195a27,26,right,male,131,Wrong,2054
066f8885734d3b91f905df8c23195a27,26,right,male,132,Wrong,2196
066f8885734d3b91f905df8c23195a27,26,right,male,133,Wrong,3430
066f8885734d3b91f905df8c23195a27,26,right,male,134,Wrong,2086
086805c265966ff2a53482f3b6c1328c,27,right,male,81,Correct,5830
086805c265966ff2a53482f3b6c1328c,27,right,male,82,Correct,2241
086805c265966ff2a53482f3b6c1328c,27,right,male,83,Correct,1448
086805c265966ff2a53482f3b6c1328c,27,right,male,84,Correct,1823
086805c265966ff2a53482f3b6c1328c,27,right,male,85,Correct,2377
086805c265966ff2a53482f3b6c1328c,27,right,male,86,Correct,6610
086805c265966ff2a53482f3b6c1328c,27,right,male,87,Correct,2469
086805c265966ff2a53482f3b6c1328c,27,right,male,88,Correct,2125
086805c265966ff2a53482f3b6c1328c,27,right,male,89,Correct,1839
086805c265966ff2a53482f3b6c1328c,27,right,male,90,Correct,6792
086805c265966ff2a53482f3b6c1328c,27,right,male,91,Correct,3140
