stimulus_id,tense_expected,target_eng,agreement,s_id
27,FUT,run,0,15
29,FUT,bend,0,15
4,PROG,tear,0,15
15,PROG,run,0,15
17,PROG,pray,0,15
25,PROG,fall,0,15
30,PROG,win,0,15
1,AOR,fly,0,16
9,AOR,tear,0,16
11,AOR,disappear,0,16
14,AOR,bend,0,16
16,AOR,fall,0,16
18,AOR,win,0,16
26,AOR,pray,0,16
2,FUT,fall,0,16
6,FUT,win,0,16
10,FUT,fly,0,16
19,FUT,disappear,1,16
22,FUT,tear,1,16
29,FUT,bend,1,16
4,PROG,tear,0,16
7,PROG,fly,0,16
13,PROG,disappear,0,16
15,PROG,run,0,16
17,PROG,pray,0,16
21,PROG,bend,0,16
25,PROG,fall,0,16
30,PROG,win,0,16
1,AOR,fly,0,17
9,AOR,tear,0,17
11,AOR,disappear,0,17
14,AOR,bend,0,17
16,AOR,fall,0,17
18,AOR,win,0,17
26,AOR,pray,0,17
2,FUT,fall,0,17
6,FUT,win,1,17
8,FUT,pray,0,17
10,FUT,fly,0,17
19,FUT,disappear,0,17
22,FUT,tear,0,17
27,FUT,run,1,17
29,FUT,bend,0,17
4,PROG,tear,0,17
7,PROG,fly,0,17
13,PROG,disappear,0,17
15,PROG,run,0,17
17,PROG,pray,1,17
21,PROG,bend,0,17
25,PROG,fall,0,17
30,PROG,win,0,17
1,AOR,fly,0,18
3,AOR,run,0,18
9,AOR,tear,0,18
26,AOR,pray,0,18
2,FUT,fall,0,18
6,FUT,win,0,18
8,FUT,pray,0,18
10,FUT,fly,0,18
22,FUT,tear,0,18
29,FUT,bend,1,18
15,PROG,run,0,18
17,PROG,pray,0,18
21,PROG,bend,0,18
25,PROG,fall,1,18
1,AOR,fly,0,19
3,AOR,run,0,19
9,AOR,tear,0,19
11,AOR,disappear,0,19
14,AOR,bend,0,19
16,AOR,fall,0,19
18,AOR,win,0,19
26,AOR,pray,0,19
2,FUT,fall,0,19
6,FUT,win,0,19
8,FUT,pray,0,19
10,FUT,fly,0,19
19,FUT,disappear,0,19
22,FUT,tear,0,19
27,FUT,run,0,19
29,FUT,bend,0,19
4,PROG,tear,0,19
7,PROG,fly,0,19
13,PROG,disappear,0,19
15,PROG,run,0,19
21,PROG,bend,0,19
25,PROG,fall,1,19
30,PROG,win,0,19
1,AOR,fly,0,20
3,AOR,run,0,20
9,AOR,tear,0,20
11,AOR,disappear,0,20
14,AOR,bend,0,20
16,AOR,fall,0,20
18,AOR,win,0,20
26,AOR,pray,0,20
2,FUT,fall,0,20
6,FUT,win,0,20
8,FUT,pray,0,20
10,FUT,fly,0,20
19,FUT,disappear,0,20
22,FUT,tear,1,20
27,FUT,run,0,20
29,FUT,bend,0,20
4,PROG,tear,0,20
7,PROG,fly,1,20
13,PROG,disappear,0,20
15,PROG,run,0,20
17,PROG,pray,1,20
21,PROG,bend,0,20
25,PROG,fall,0,20
30,PROG,win,0,20
